Epoch,Step,Train Loss,Train Recon,Train KL,Train β-KL,Train SupCon,Val Loss,Val Recon,Val KL,Val β-KL,Val SupCon
24,312000,4.3602,0.8588,27.548,0.6887,3.7503,4.2652,0.761,27.6804,0.692,3.7496
24,314000,4.3647,0.8589,27.576,0.6894,3.7553,4.2668,0.768,27.4652,0.6866,3.7496
24,316000,4.362,0.8567,27.559999999999995,0.689,3.7549,4.2681,0.7665,27.5786,0.6895,3.7495
24,318000,4.3609,0.8563,27.58,0.6895,3.7534,4.2662,0.7611,27.7071,0.6927,3.7499
24,320000,4.36,0.8562,27.584,0.6896,3.7523,4.2635,0.7625,27.5441,0.6886,3.7499
25,322000,4.3588,0.8557,27.592,0.6898,3.751,4.2661,0.7644,27.5646,0.6891,3.7501
25,324000,4.36,0.8543,27.612,0.6903,3.7538,4.2635,0.7637,27.5131,0.6878,3.7494
25,326000,4.358,0.8546,27.595999999999997,0.6899,3.7513,4.2654,0.764,27.5717,0.6893,3.7495
25,328000,4.3587,0.8551,27.612,0.6903,3.7511,4.2646,0.7629,27.5779,0.6894,3.7497
25,330000,4.3558,0.8508,27.616,0.6904,3.7527,4.2629,0.7631,27.4856,0.6871,3.7501
25,332000,4.3561,0.8518,27.639999999999997,0.691,3.751,4.2639,0.7572,27.7767,0.6944,3.7496
25,334000,4.359,0.8525,27.644000000000002,0.6911,3.7538,4.2637,0.7617,27.589,0.6897,3.7498
26,336000,4.3574,0.8515,27.663999999999998,0.6916,3.7524,4.2628,0.7593,27.6732,0.6918,3.7489
26,338000,4.3579,0.8507,27.66,0.6915,3.7543,4.2631,0.7613,27.5887,0.6897,3.7494
26,340000,4.3542,0.8488,27.66,0.6915,3.7519,4.2604,0.7523,27.8425,0.6961,3.7494
26,342000,4.3568,0.8501,27.671999999999997,0.6918,3.7531,4.2623,0.7585,27.6754,0.6919,3.7491
26,344000,4.3556,0.8488,27.676,0.6919,3.7531,4.2645,0.7601,27.6802,0.692,3.7498
